# Enhanced Poisson Multi-Bernoulli Tracking Log
# Input: D:\khenk\Downloads\parallel_run5_2025-12-20260128T124203Z-3-001\parallel_run5_2025-12\cam0_tile0_max_iqr2.0_down32.mp4
#
# frame, track_id, x, y, existence_prob, confidence, speed, age, detections
#================================================================================
58, 26, 52, 108, 0.9805, 1.0000, 7.8518, 39, 39
58, 42, 106, 118, 0.9997, 1.0000, 1.2327, 20, 21
58, 47, 26, 4, 0.9997, 1.0000, 1.0417, 18, 19
58, 64, 63, 115, 0.9996, 0.7248, 2.4682, 9, 9
58, 67, 3, 6, 0.9997, 0.7623, 0.7507, 5, 6
58, 68, 119, 127, 0.9981, 0.6947, 2.0118, 3, 4
58, 69, 33, 18, 0.9012, 0.6182, 13.0269, 2, 3
59, 18, 78, 33, 0.9997, 1.0000, 1.9040, 48, 48
59, 26, 66, 114, 0.9427, 1.0000, 13.7645, 40, 40
59, 42, 107, 119, 0.9997, 1.0000, 1.4441, 21, 22
59, 47, 27, 4, 0.9997, 1.0000, 1.0000, 19, 20
59, 64, 71, 122, 0.9786, 0.7524, 9.7559, 10, 10
59, 68, 121, 127, 0.9996, 0.7268, 2.0017, 4, 5
60, 18, 80, 33, 0.9997, 1.0000, 2.0294, 49, 49
60, 26, 82, 121, 0.9961, 1.0000, 16.6440, 41, 41
60, 42, 108, 119, 0.9997, 1.0000, 1.0533, 22, 23
60, 47, 28, 4, 0.9997, 1.0000, 1.0009, 20, 21
60, 67, 4, 6, 0.9997, 0.8384, 0.7505, 7, 8
60, 68, 123, 127, 0.9997, 0.7623, 1.9989, 5, 6
60, 71, 97, 0, 0.9980, 0.6947, 1.7374, 3, 4
60, 72, 53, 118, 0.7900, 0.5543, 5.4729, 2, 3
61, 18, 82, 34, 0.9997, 1.0000, 2.1751, 50, 50
61, 26, 107, 121, 0.5991, 0.6991, 24.5973, 42, 42
61, 47, 29, 5, 0.9997, 1.0000, 1.2486, 21, 22
61, 59, 127, 114, 0.9997, 0.6706, 1.5970, 14, 13
61, 67, 4, 7, 0.9997, 0.8779, 0.8060, 8, 9
